,cleaned_text,label,label_id
0,کرسی آزاد اندیشی فساد ستیزی فردی یا ساختاری در گناوه برگزارشد ____________ به گزارش خبرنگار مهر، حجت الاسلام سید عبدالهادی رکنی حسینی صبح شنبه در این نشست به مقایسه فرمایشات امیرالمومنین حضرت علی ع و سخنان حکیمانه مقام معظم رهبری در مبارزه با فساد اشاره کرد و افزود: وقتی در بیانات رهبر معظم انقلاب در خصوص مبارزه با فساد دقت می‌کنیم مبارزه با فساد بویژه مبارزه با فساد اقتصادی اهمیت بالای دارد. کرسی آزاد اندیشی «فساد ستیزی فردی یا ساختاری، راه حل‌ها و موانع» به همت انجمن علمی حقوق و دفتر فرهنگی دانشگاه پیام نور گناوه برگزار شد، و در پایان نشست کارشناسان به سوالات شرکت کنندگان پاسخ دادند,positive,1
1,نحوه برگزاری امتحانات دبستانی‌ها اعلام شد/ ارزیابی دانش آموزان پایه ششم «منطقه‌ای» است ____________ رضوان حکیم زاده معاون آموزش ابتدایی وزارت آموزش و پرورش در گفت وگو با خبرنگار آموزش و پرورش خبرگزاری فارس درباره نحوه برگزاری امتحانات دبستانی‌ها، اظهار کرد: امتحانات پایان سال تمام دانش آموزان ابتدایی، حضوری برگزار می‌شود. حکیم زاده درباره امتحانات پایه ششم، افزود: ارزیابی پایه ششم، به صورت منطقه‌ای است؛ البته با توجه به اهمیت و ضرورت یک ارزیابی دقیق‌تر و اینکه بتوانیم سؤالات استانداردی را به صورت عملکردی داشته باشیم، از شورای عالی آموزش و پرورش درخواست کردیم امتحانات پایه ششم به صورت استانی برگزار شود که هنوز جوابی دریافت نکردیم و بر همین اساس در حال حاضر امتحانات پایه ششم به صورت منطقه‌ای است,positive,1
2,تداوم کمک‌های مومنانه در شهرستان رباط کریم در آستانه عید نوروز و اعیاد شعبانیه ____________ به گزارش خبرنگار خبرگزاری شبستان از شهرستان­‌های تهران، حجت الاسلام حسن ترابی امام جمعه شهرستان رباط کریم در ششمین مرحله رزمایش کمک‌های مومنانه شهرستان که در آستانه عید باستانی نوروز و در روز میلاد با برکت امام حسین ع در ناحیه بسیج سپاه امام حسن مجتبی ع برگزار شد اظهار داشت: روز پاسدار، روز ارج نهادن به مجاهدت‌ها، ایثار و فداکاری و جانفشانی پاسداران عزیز انقلاب اسلامی است. لازم به توضیح است، امروز تعداد ۲۶۰۰ بسته معیشتی و ۱۰۰۰ دست لباس زنانه، مردانه و بچه گانه در سطح شهرستان رباط کریم بین نیازمندان و اقشار کم درآمد توزیع گردید که تعداد ۲۰۰۰ بسته معیشتی توسط قرارگاه رزمایش مواسات شهرستان سپاه پاسداران انقلاب اسلامی و ۶۰۰ بسته آن توسط اداره اوقاف و امور خیریه بین مستضعفین توزیع شد,negative,0
3,مبادله تفاهم نامه سرمایه گذاری به مبلغ ۵۰۰ میلیارد تومان ____________ در متن این تفاهم نامه آمده؛ «به منظور توسعه، پیشرفت و تعالی استان و ایجاد و گسترش زمینه‌های همکاری، هدایت و حمایت سرمایه گذاران و فعالان بخش خصوصی، در راستای سیاست‌های کلی نظام جمهوری اسلامی و اصل ۴۴ قانون اساسی، نیل به اهداف و برنامه‌های مربوط به سرمایه گذاری و توسعه، همچنین استفاده از توانمندی و پتانسیل‌های موجود استان، این تفاهم نامه فی مابین ستاد توسعه خاوران به نمایندگی آقای حمید ملانوری شمسی استاندار خراسان جنوبی و شرکت توسعه معادن فلات زرین کیمیا به نمایندگی آقای علی آریا منش به عنوان سرمایه گذار بخش خصوصی تنظیم و مورد توافق طرفین قرار گرفت. موضوع تفاهم نامه: ایجاد سرمایه گذاری و اشتغال، توسعه کارآفرینی با محوریت رشد بهره وری در اقتصاد به منظور توسعه، پیشرفت و تعالی استان/ ایجاد انسجام و روحیه همدلی و وفاق در بین تمامی عوامل پشتیبان و تاثیرگذار در توسعه به منظور تسهیل و سرعت بخشی به امر سرمایه گذاری/ کاهش بروکراسی و کارآمدسازی نظام اداری و خدمات رسان امر سرمایه گذاری با هدف صرفه جویی در وقت و هزینه‌های سرمایه گذار و اشتیاق بیشتر او برای ورود به عرصه فعالیت‌های سرمایه گذاری/ همکاری مشترک، ارائه راهکارهای راهبردی، افزایش بهره وری در حوزه سرمایه گذاری و بهره گیری از توان و دانش نهادینه شده در دستگاه‌های اجرایی/ تلاش به منظور رفع محدودیت‌های دست و پا گیر در زمینه سرمایه گذاری و کارآفرینی/ ممانعت از مباحث حاشیه‌ای و بی ارزش و آرام بخشی به فضای عمومی جامعه به منظور بهره گیری از فرصت‌های خدمتگزاری / تلاش مستمر و جدیت سرمایه گذار در سرعت بخشیدن به اجرای واحد سرمایه گذاری برای بهره برداری در یک فرصت زمانی مناسب که در طرح پیش بینی شده است»,positive,1
4,مداخله والدین در انجام امور فرزندان از آنها افرادی وابسته و ناتوان می‌سازد ____________ عضو سازمان نظام روانشناسی با بیان اینکه کودکان به طور طبیعی و ذاتی برای استقلال خود تلاش می‌کنند، خاطرنشان کرد: بسیاری از والدین این حالت را به اشتباه سرکشی در نظر می‌گیرند اما واقعیت این است که کودکان برای استقلال خود تلاش می‌کنند زیرا این حالت بخشی از ماهیت انسان است که می‌خواهد کنترل رفتار خود را داشته باشد و خودمختاری یکی از نیازهای اولیه زندگی هر شخصی است. خدیجه روشنی عضو سازمان نظام روانشناسی در گفت و گو با خبرنگار گروه علم و آموزش ایرنا با تاکید بر اینکه داشتن فرزند مستقل یکی از مهم‌ترین چالش‌ها و دستاوردها برای والدین است تصریح کرد: تربیت کودکان مستقل و با عزت نفس که بتوانند با چالش‌های زندگی مواجه شوند، گام مهمی در جهت رشد و پرورش فرزندان محسوب می‌شود,negative,0
5,همایش «احلی من العسل» در گناوه برگزار شد ____________ به گزارش خبرنگار مهر، همایش «احلی من العسل» از برنامه‌های سوگواره بصیرت عاشورایی همزمان با ایام سوگواری و عزاداری ماه محرم عصر یکشنبه در بقعه امامزاده سلیمان بن علی ع گناوه برگزار و از طریق فضای مجازی برای علاقمندان پخش شد. در این آئین معنوی که به مناسبت شهادت حضرت قاسم بن الحسن ع و همزمان با ایام سوگواری و عزاداری محرم به همت هیئت امنا امامزاده سلیمان بن علی ع و اداره اوقاف و امور خیریه شهرستان گناوه در آستانه مقدس امامزاده سلیمان بن علی ع برگزار شد، مداحی از دیگر بخش‌ها بود و از طریق فضای مجازی پخش شد,negative,0
6,گلیج حضور در فینال را از دست داد ____________ به گزارش برنا، در ادامه رقابت‌های کشتی آزاد قهرمانی جهان در وزن ۹۷ کیلوگرم، مجتبی گلیج به مصاف اسنایدر از آمریکا رفت و با نتیجه ۳ بر ۲ نتیجه را واگذار کرد و حضور در فینال را از دست داد,negative,0
7,طلا روند کاهشی گرفت ____________ به گزارش ایسنا، بهای هر اونس طلا تا ساعت ۱۱ و ۱۵ دقیقه صبح به وقت شرقی با ۷٫۹۰ درصد کاهش به ۱۹۳۴ دلار و ۵۰ سنت رسید. قیمت طلا تاکنون در این هفته حدود ۲٫۵ درصد کاهش یافته است زیرا سرمایه گذاران احتمال افزایش نرخ بهره توسط فدرال رزرو آمریکا را پیش از تصمیم گیری در روز چهارشنبه ارزیابی کردند,positive,1
8,دیدار معاون رئیس جمهور ایران با وزیر امور زنان نیجریه در نیویورک ____________ به گزارش ایرنا، معاون رئیس جمهور در این دیدار، برخی از پیشرفت‌ها و دستاوردهای کشور در احقاق حقوق زنان و حمایت از خانواده از جمله ارتقا شاخص‌های سلامت و بهداشت، شاخص امید به زندگی، وضعیت پوشش دهی بیمه بویژه بیمه زنان سرپرست خانوار و روستایی، حضور پررنگ زنان و دختران در مناصب دانشگاهی و رشته‌های پزشکی و ریشه کن شدن بی سوادی و کاهش قابل توجه تعداد کودکان بازمانده از تحصیل را تشریح کرد. دیم پائولین تالن dame pauline talle وزیر امور زنان نیجریه نیز به وضعیت کشورش در حوزه آموزش، معضل بیسوادی و وجود تعداد زیادی کودک بازمانده از تحصیل پرداخت و اظهار کرد، کشورش در تلاش است وام‌های خرد و تسهیلات اعتباری برای توانمند سازی زنان اختصاص دهد,negative,0
9,دو کشته و سه زخمی دیگر ارمغان جاده مرگ برای مردم خواف ____________ به گزارش ایلنا؛ رئیس اورژانس ۱۱۵ شهرستان خواف در خصوص این حادثه ناگوار گفت: روز گذشته با اطلاع از تصادف رخ داده در کیلومتر ۸ جاده خواف-تایباد حوالی روستای خرگرد همکاران ما به محل حادثه اعزام شدند. منصور خلیلی پور ادامه داد: در تصادف رخ به رخ دو خودروی پراید و زانتیا؛ دو تن از سرنشینان پراید که زن و شوهر بودند در دم جان خود را از دست داده و فرزندشان به همراه سرنشینان زانتیا که دو مرد بوده به بیمارستان ۲۲ بهمن خواف منتقل شدند,negative,0
